text,label
"Спасибо врачам за помощь, все прошло хорошо",1
"Отличная клиника, чисто и аккуратно",1
Медперсонал вежливый и внимательный,1
"Очередь была, но терпимо, все объяснили",1
"Прием прошел быстро, врач компетентный",1
Спасибо медсестрам за заботу,1
"Все организовано хорошо, рекомендую",1
"Нормальная больница, как везде",1
"Анализы взяли быстро, без боли",1
Врач выслушал и назначил лечение,1
"Хорошее отделение, свежий ремонт",1
Мне понравилось отношение персонала,1
"Быстро выписали, никаких проблем",1
"Все стандартно, но главное помогли",1
"Доволен приемом, спасибо",1
"Очередь была долгая, но это терпимо",1
"Не понравился интерьер, но к врачам претензий нет",1
"Телефон не дозвониться, но очно записался",1
"Мало парковки, но лечится хорошо",1
"Бумаг много заполнять, но персонал помог",1
"Ребенка приняли быстро, врачи добрые",1
Спасибо за внимание и чуткость,1
"В палате чисто, кормят хорошо",1
"Все сделали качественно, доволен",1
"Хорошая больница, буду обращаться еще",1
Спасибо доктору Иванову за профессионализм,1
"Операция прошла успешно, спасибо бригаде",1
Отношение к пациентам человеческое,1
Регистратура работает четко,1
"Анализы готовы вовремя, все объяснили",1
Врач нагрубил и не дал нормального направления,2
"Очередь была 3 часа, хотя записался заранее",2
Медсестра сделала укол очень больно и даже не извинилась,2
"Регистратура работает ужасно, потеряли мою карту",2
"Врач опоздал на 40 минут, никто не предупредил",2
Назначили дорогое лечение без объяснений,2
Персонал хамит и игнорирует просьбы,2
"В палате грязно, белье не меняют неделями",2
Невозможно дозвониться в регистратуру,2
Врач не посмотрел результаты анализов должным образом,2
"Выписали не то лекарство, пришлось переделывать",2
Узи делали 2 часа из-за очереди,2
Администратор нагрубила по телефону,2
"Потеряли анализы, пришлось пересдавать",2
"В отделении холодно, больные мерзнут",2
Врач не дал направление к узкому специалисту,2
"Прием длился всего 5 минут, ничего не объяснили",2
"Очередь к терапевту ужасная, талон дают за месяц",2
"Медсестра забрала анализы, но результаты пропали",2
"Кабинет грязный, оборудование старое",2
"Регистраторша нахамила, плакать хотелось",2
"Врач сидел в телефоне, а не слушал меня",2
"Назначили анализы, которые уже были готовы",2
Заставили ждать 2 часа без объяснений,2
Администрация не реагирует на жалобы,2
В палате нет горячей воды,2
Не выдали выписку вовремя,2
У терапевта был плохой запах изо рта,2
Карточку потеряли в регистратуре,2
"У пациента случился инфаркт в коридоре, никто не подошел 20 минут",3
"Врач поставил неверный диагноз, из-за этого начались осложнения",3
"После операции началось сильное кровотечение, врачи растерялись",3
"Анестезиолог перепутал дозу, пациент едва не умер",3
"Реанимация не работает, аппарат ИВЛ сломался",3
Врач удалил здоровый орган по ошибке,3
"Роды принимали в коридоре, не было свободных палат",3
"Пациента положили на холодный пол, ждали скорую 4 часа",3
"В палате случилась вспышка инфекции, никто не изолировал больных",3
"Врач назначил препарат, на который у пациента аллергия, едва не задохнулся",3
"Анализы перепутали, сделали переливание не той группы крови",3
"Врач не приехал на вызов, хотя пациент умирал",3
"Медсестра дала не то лекарство, пациент впал в кому",3
Хирург оставил марлевый тампон в теле пациента,3
"Ребенку не оказали помощь вовремя, начался сепсис",3
После операции пациент получил тромбоз из-за халатности,3
"Врач проигнорировал жалобы на боль, оказался перитонит",3
"Акушерка не заметила, что плод застрял, ребенок задохнулся",3
"Скорая приехала через час, пациента уже не спасли",3
В реанимации не было врача 2 часа,3
"Пациент упал с кровати, никто не помог",3
"Анализ крови потеряли, перелили не ту группу",3
"Врач отказался осмотреть пациента, сказал симулирует",3
"Ребенку дали препарат для взрослых, вызвали передозировку",3
"В операционной отключился свет, операцию остановили",3
"Медсестра не проверила срок годности лекарства, пациент отравился",3
"Врач спутал двух пациентов, начал лечить не того",3
Пациенту не оказали помощь при анафилактическом шоке,3
"Врач удалил не тот зуб, здоровый вырвали",3
"Роды начались в коридоре, врачи разбежались",3
"Аппарат МРТ сломался, а пациент лежал внутри",3
"Врач диагностировал простуду, а оказался менингит",3
Пациент заразился внутрибольничной инфекцией,3
Операцию проводили без необходимой стерилизации,3
"Реаниматолог уснул, а пациент умирал",3
"Врач сказал, что все нормально, а через день пациент впал в кому",3
Пациенту ампутировали не ту конечность,3
В аптеке больницы выдали просроченное лекарство,3
"Врач удалил желчный пузырь, а оказалось нужно было поджелудочную",3
"Пациентка родила на полу в коридоре, никто не помог",3
Врач выписал сильный антибиотик без анализов,3
В больнице украли вещи пациента,3
"Спасибо доктору, все прошло отлично",1
"Очень внимательный персонал, понравилось",1
"Клиника чистая, уютно и спокойно",1
"Врач все подробно объяснил, спасибо",1
"Прием прошел без очереди, быстро",1
"Медсестра сделала укол незаметно, молодец",1
"Палата светлая и чистая, все удобно",1
"Отношение человеческое, буду лечиться здесь",1
"Хорошая регистратура, все подсказали",1
"Анализы взяли с первого раза, без боли",1
"Вкусная еда и свежее белье, спасибо",1
"Операция прошла успешно, врачи золотые руки",1
"Ребенок не боится идти в больницу, спасибо врачам",1
"Врач пришел вовремя, прием информативный",1
"Новое оборудование, обследование комфортное",1
"Все четко и профессионально, рекомендую",1
"Отличная больница, отношение на высоте",1
"Персонал вежливый, не нагрубили ни разу",1
Дали четкие рекомендации по лечению,1
"Запись по телефону быстрая, без проблем",1
Терапевт внимательно выслушал все жалобы,1
"Узист объяснял, что видит на экране, очень понятно",1
После приема чувствуется забота,1
Врач успокоил и развеял страхи,1
Все анализы готовы раньше срока,1
Хороший массаж и физиопроцедуры,1
В отделении тихо и спокойно,1
Медперсонал относится с пониманием к пожилым,1
"Врач не назначил лишних лекарств, спасибо",1
"Очередь была, но врач работал быстро",1
"Приятная атмосфера, даже боль переносится легче",1
"Врач спас жизнь, огромное спасибо всей бригаде",1
Спасибо за чуткость и профессионализм,1
"Очень чисто, чувствуется стерильность",1
"Аккуратно наложили швы, не осталось рубца",1
"Добрые медсестры, всегда улыбаются",1
"Врач знает свое дело, доверяю ему",1
"Выписали вовремя, документы готовы",1
"Назначили эффективное лечение, уже легче",1
"В регистратуре работают быстро, не грубят",1
"Палата одноместная, очень удобно",1
"Спасибо, что приняли без талона",1
"Врач не торопился, ответил на все вопросы",1
"Лечение помогло, чувствую себя отлично",1
"Хороший наркоз, очнулась без боли",1
В больнице дают хорошие таблетки,1
Персонал относится как к родным,1
"Никаких проблем, все супер",1
Врач улыбчивый и приятный,1
"Все рассказали о побочках, предупредили",1
"Мало людей в очереди, повезло",1
"Делали рентген быстро, результат сразу",1
Чистые полотенца и халаты,1
Врач пришел на вызов через 10 минут,1
"Ребенок поправился за 2 дня, спасибо капельницам",1
"Приятно пахнет в холле, не больницей",1
"Назначили диету, и правда помогает",1
Доктор постоянно был на связи,1
"Нет негатива, все хорошо",1
"Спасибо, что продлили больничный без проблем",1
Очень тактичный врач гинеколог,1
Понравился комплексный подход,1
Быстро выписали рецепт и направление,1
"В коридорах тепло, не мерзла",1
"Кормят как в кафе, вкусно",1
"Молодые врачи, но очень грамотные",1
"Все расписано по часам, четко",1
"Очередь была небольшая, минут 15",1
Врач поставил правильный диагноз с первого раза,1
Спасибо за внимание к моей проблеме,1
"Отличная клиника, буду советовать друзьям",1
Медсестра помогла донести сумки,1
"Врач предупредил о всех рисках, спокойно",1
"Койки удобные, матрас хороший",1
Все операции проводятся вовремя,1
В палате есть кондиционер и телевизор,1
